Come quickly!	Przyjdź szybko!
Is that my robe?	Czy to mój szlafrok?
This vacuum cleaner is noisy.	Ten odkurzacz jest bardzo głośny.
Tom told me that he would like to visit us in Boston.	Tom powiedział mi, że chciałby nas odwiedzić w Bostonie.
This fact must not be forgotten.	Ten fakt nie może zostać zapomniany.
I'll never let anything happen to you.	Nigdy nie pozwolę, żeby coś ci się stało.
What goes around comes around.	Kto sieje wiatr, zbiera burzę.
Tom is indignant.	Tom jest oburzony.
Do you have a headache?	Boli cię głowa?
Everyone attacked my opinion.	Wszyscy atakowali moje stanowisko.
Does anyone here know French?	Czy ktoś tu zna francuski?
I've seen you with Tom.	Widziałam cię z Tomem.
I explicitly told Tom not to do that.	Wyraźnie kazałem Tomowi tego nie robić.
This town is cursed.	To miasto jest przeklęte.
Tom saw Mary heading into the woods.	Tom widział, jak Mary zmierza do lasu.
Can I ask you something?	Mogę was o coś spytać?
My stomach's full.	Mój żołądek jest pełny.
Tom tends to exaggerate.	Tom ma skłonność do przesadzania.
I'm not very particular about food.	Nie jestem zbyt wybredny co do jedzenia.
He is an American.	On jest Amerykaninem.
You're shaken.	Jesteś wstrząśnięty.
Texas borders on Mexico.	Teksas graniczy z Meksykiem.
It was effective.	To było efektywne.
It was very crowded on the bus.	W autobusie było bardzo tłoczno.
I didn't mind.	Nie przeszkadzało mi to.
It was awful.	To było okropne.
I won't need it.	Nie będę tego potrzebować.
My parents won't let me date.	Moi rodzice nie pozwalają mi umawiać się na randki.
We have mutual friends.	Mamy wspólnych znajomych.
We're looking for someone.	Szukamy kogoś.
The child came aboard the plane in a good mood.	Dziecko wsiadło do samolotu w dobrym humorze.
He can run the fastest in the class.	On umie biegać najszybciej w klasie.
This could happen to anybody.	To mogło przydarzyć się każdemu.
Which do you like better, rock music or classical music?	Co lubisz bardziej, muzykę rockową czy klasyczną?
A trip to America this summer is out of the question.	Nie ma mowy o wycieczce do Ameryki tego lata.
I can go wherever you like.	Mogę iść gdzie chcesz.
I think my girlfriend is kind of cute.	Myślę, że moja dziewczyna jest urocza.
It may seem like a minor thing to you, but for a lot of people this is really difficult to do.	Dla ciebie jest to może mało znaczące, ale wiele osób nie dałoby sobie z tym rady.
Tom and Mary agree.	Tom i Mary się zgadzają.
Our school is near a park.	Nasza szkoła jest blisko parku.
Tom likes cats.	Tom lubi koty.
I was fired.	Zwolnili mnie.
Tom knows who killed his dog.	Tom wie, kto zabił jego psa.
He raised his hat when he saw me.	Uniósł kapelusz kiedy mnie zobaczył.
Mary used to be beautiful.	Mary była piękna.
The food wasn't good, but at least it was cheap.	To jedzenie nie było dobre, ale przynajmniej było tanie.
I'm waiting for you to help me.	Czekam aż mi pomożesz.
You've won!	Wygrałeś!
He apologized to us for being late.	Przeprosił za spóźnienie.
What was the cause of the explosion?	Jaka była przyczyna eksplozji?
Tom overslept.	Tom zaspał.
You're wasting our time.	Marnujesz nasz czas.
It's amazing how little time Tom spends with his children.	To niebywałe, jak mało czasu Tom spędza ze swoimi dziećmi.
She always cared about my health.	Zawsze troszczyła się o moje zdrowie.
I wish I were young.	Chciałbym być młodszy.
Didn't you know?	Nie wiedziałeś?
Tom was thirteen years old then.	Tom miał wtedy trzynaście lat.
This will be extremely helpful.	To będzie niezwykle pomocne.
Do you have any idea where Tom went?	Masz jakieś pojęcie gdzie Tom poszedł?
Tom and Mary like walking together in the woods.	Tom i Mary lubią chodzić razem po lasach.
I think Tom is doing a pretty good job for us.	Myślę, że Tom robi dla nas bardzo dobrą robotę.
We've done all we can.	Zrobiliśmy wszystko co mogliśmy.
It's not dry yet.	To nie jest jeszcze suche.
Tom is my friend.	Tom jest moim przyjacielem.
They want to see how we react.	Chcą zobaczyć, jak zareagujemy.
Cats usually hate dogs.	Zwykle koty nie lubią psów.
She is afraid of her own shadow.	Ona boi się własnego cienia.
I'm in the eighth grade.	Jestem w ósmej klasie.
She is used to cooking.	Przywykła do gotowania.
That could be painful.	To mogłoby być bolesne.
Tom knew.	Tom wiedział.
I've already read that document.	Już przeczytałem ten dokument.
I forget where I put my hat.	Zapomniałem gdzie położyłem kapelusz.
Oh, no! We're running out of gas.	O, nie! Kończy nam się benzyna!
I've only heard Tom play the piano once.	Tylko raz słyszałam, jak Tom gra na pianinie.
Wake up!	Obudź się!
He bought it for five dollars.	Kupił to za pięć dolarów.
It is nothing to me.	Nie ma to dla mnie znaczenia.
Let's play another hand of poker. I want a chance to win my money back.	Zagrajmy jeszcze partyjkę pokera. Chciałbym mieć szansę się odegrać.
The train has just arrived.	Pociąg właśnie przyjechał.
I don't like you and I never will.	Nie lubię cię i nigdy nie będę.
I want to see you.	Chciałbym cię zobaczyć.
Some people are difficult to please.	Niektórzy ludzie są trudni do usatysfakcjonowania.
Check everyone.	Sprawdź wszystkich.
None of that was true.	Nic z tego nie było prawdą.
Our family doesn't celebrate Christmas.	Nasza rodzina nie obchodzi Bożego Narodzenia.
Every time I go there, I meet her.	Ilekroć tam idę, spotykam ją.
Are you sure that's what you really want?	Jesteś pewien, że tego właśnie chcesz?
Tom tried to sleep.	Tom próbował spać.
I'm going to tell everybody.	Powiem wszystkim.
I have a friend in Boston.	Mam kolegę w Bostonie.
This blue backpack is heavy.	Ten niebieski plecak jest ciężki.
My shoes are brown.	Moje buty są brązowe.
The heat is unbearable.	Upał jest nie do zniesienia.
I only want a snack.	Chcę tylko coś przekąsić.
I snore.	Chrapię.
They needed one another.	Potrzebowali jeszcze jednego.
Do it yourself.	Zrób to sam.
Tom isn't bothering me.	Tom mi nie przeszkadza.
Who are you going to believe?	Komu uwierzysz?
Just as the Americans like baseball, the British like cricket.	Tak jak Amerykanie lubią bejsbol, tak Brytyjczycy - krykiet.
Excuse me, could you lower your voice a little?	Przepraszam, czy mógłbyś mówić trochę ciszej?
I can't wait to talk to you.	Nie mogę się doczekać żeby z tobą porozmawiać.
He whistled as he walked.	Idąc gwizdał.
My mother left me a message.	Moja mama zostawiła mi wiadomość.
May I use your pencil?	Czy mogę użyć twojego ołówka?
Jupiter is a planet.	Jowisz jest planetą.
You're inconsistent.	Jesteś niespójny.
My father fixed a broken chair.	Mój ojciec naprawił połamane krzesło.
She loves singing.	Ona uwielbia śpiewanie.
The boy carved his name into the tree.	Chłopiec wyciął swoje imię na drzewie.
I meet her once a week.	Spotykam się z nią raz w tygodniu.
I can only speak for myself.	Mogę mówić wyłącznie za siebie.
I paid 2,000 yen for this atlas.	Zapłaciłem za ten atlas 2000 jenów.
Who came?	Kto przyszedł?
Last night there was a fire near here, and I couldn't sleep.	Ostatniej nocy niedaleko był pożar, więc nie mogłem spać.
It wasn't at all funny.	To wcale nie było zabawne.
He will do anything to make money.	Zrobi wszystko, by zarobić pieniądze.
Tom likes orange.	Tom lubi pomarańcze.
Tom and only Tom can do it.	Tom i tylko Tom umie to zrobić.
Congratulations on your anniversary.	Serdeczne życzenia z okazji jubileuszu.
Tom wants to be your friend.	Tom chce być twoim przyjacielem.
Tom likes classical music, but Mary doesn't.	Tom lubi muzykę klasyczną, ale Mary nie.
Tom is playing with his toys.	Tom bawi się swoimi zabawkami.
Give me a head of cabbage.	Daj mi główkę kapusty.
I need air.	Potrzebuję powietrza.
His name is known to everybody in this area.	Jego nazwisko jest znane wszystkim w tej okolicy.
Tom gave me a bicycle for my birthday.	Tom dał mi rower na urodziny.
New roads were constructed one after another.	Nowe drogi były budowane jedna po drugiej.
Tom calmly reloaded his pistol.	Tom spokojnie przeładował swój pistolet.
Don't push me.	Nie poganiaj mnie.
I like cookies.	Lubię ciastka.
Did you have a fight with Tom?	Pokłóciłeś się z Tomem?
I wanted to see the elephant first, but Tom wanted to see the monkeys.	Chciałem najpierw iść zobaczyć słonia, ale Tom chciał obejrzeć małpy.
Fasten your seat belt.	Zapnij pasy.
I've got to go to the police.	Muszę iść na policję.
Slow but steady wins the race.	Powolni, ale systematyczni wygrają w końcu.
Tom left early in the morning.	Tom wyszedł wcześnie rano.
Aren't you worried about your public image?	Czy nie martwisz się swoim wizerunkiem publicznym?
Tom followed Mary out into the hall.	Tom wyszedł za Mary na korytarz.
That may not happen.	To może się nie zdarzyć.
To tell the truth, I don't remember anything I said yesterday.	Prawdę mówiąc, nie pamiętam niczego, co wczoraj powiedziałam.
Seize him!	Pojmać go!
Cut the salmon into small pieces.	Pokrój łososia na małe kawałki.
I wish my back didn't always hurt so much.	Chciałbym, żeby mnie plecy tak nie bolały.
In situations like these, a gun might come in handy.	W takich sytuacjach broń się przydaje.
You look strong.	Wyglądasz na silnego.
Anybody can do that.	Każdy może to zrobić.
Hunger is the best sauce.	Głód najlepszym kucharzem.
My brother and I shared the room.	Dzielę pokój z bratem.
I think this is yours.	Myślę, że to twoje.
You're pretty good at that.	Jesteś w tym całkiem niezły.
We can't open this yet.	Jeszcze nie możemy tego otworzyć.
Never choose a vocation just because the hours are short.	Nigdy nie wybieraj zawodu tylko dlatego, że godziny pracy są krótkie.
I hope Tom is right.	Mam nadzieję, że Tom ma rację.
They're watching me.	Obserwują mnie.
Do you see the raccoon?	Widzisz tego szopa?
How did he do it?	Jak on to zrobił?
I'm going to give it to Tom.	Dam to Tomowi.
Here we are!	Jesteśmy na miejscu!
I'm not a lab rat.	Nie jestem królikiem doświadczalnym.
I don't believe in ghosts.	Nie wierzę w istnienie duchów.
Don't be surprised.	Nie bądź zaskoczona.
I didn't go to school last Monday.	W ostatni poniedziałek nie poszedłem do szkoły.
I'll get by.	Dam sobie radę.
Tom was every inch a gentleman.	Tom był dżentelmenem w każdym calu.
Do you like sports?	Lubisz sport?
Is there a reward?	Czy jest nagroda?
Why will you not listen to reason?	Dlaczego nie posłuchasz głosu rozsądku?
Tom is someone I really admire.	Tom jest kimś, kogo naprawdę podziwiam.
I sell clothing online.	Sprzedaję ubrania przez internet.
She arrived too early.	Ona przybyła za wcześno.
What do you want me to do?	Co chcesz żebym zrobił?
I bought a table for the living room.	Kupiłem stół do salonu.
I was the only one who knew Tom was coming.	Byłem jedynym, który wiedział, że Tom przychodzi.
There are many good restaurants in Boston.	W Bostonie jest wiele dobrych restauracji.
I know what's up.	Wiem, o co chodzi.
I told you not to play your cello late at night, but you did and now the neighbors have complained.	Powiedziałem ci, byś nie grał na wiolonczeli w nocy, ale ty nie posłuchałeś i teraz sąsiedzi się skarżą.
She goes to the bookstore once a week.	Ona chodzi do księgarni raz w tygodniu.
Horses eat grass.	Konie jedzą trawę.
Not everyone likes that book.	Nie każdy lubi tą książkę.
Tom broke his right arm.	Tom złamał prawe ramię.
I remember Tom telling me about the time he and Mary had climbed Mt. Fuji.	Pamiętam, że Tom mówił mi, o której weszli z Mary na górę Fuji.
The doctor is gentle with his patients.	Ten lekarz jest miły dla pacjentów.
Tom isn't worried.	Tom się nie martwi.
He can speak Russian, too.	On umie też mówić po rosyjsku.
He abused the privilege.	On nadużył przywilejów.
She is a student who studies very hard.	Ona uczy się bardzo pilnie.
I always have to wear a tie because of my job.	Muszę zawsze nosić krawat z powodu mojego zawodu.
The train has just left.	Pociąg właśnie odjechał.
Congress asked for more information.	Kongres poprosił o więcej informacji.
Leave at once.	Wyjeżdżaj natychmiast.
I'm up.	Wstałem.
Has Tom been there?	Czy Tom tam był?
I have a question.	Mam pytanie.
That's why I told you not to go by yourself.	Właśnie dlatego kazałem ci nie iść samemu.
I have some questions I'd like to ask you.	Mam do ciebie kilka pytań.
I think you were right.	Myślę, że miałeś rację.
She gave him a book.	Dała mu książkę.
Be attentive.	Bądź uważny.
I'm too old for such things.	Jestem za stary na takie rzeczy.
You're cute when you're angry.	Jesteś słodki, kiedy się złościsz.
How long do I have to wait?	Jak długo będę musiał czekać?
Tom didn't give it back.	Tom nie oddał tego.
Everybody wanted to sing.	Wszyscy chcieli śpiewać.
Go to the store.	Idź do sklepu.
That's something that happens quite often.	To coś, co zdarza się całkiem często.
You're prepared.	Jesteś przygotowany.
I'll water the garden.	Podleję ogród.
He has gone to Hokkaido.	Pojechał na Hokkaido.
I shave every morning.	Golę się co rano.
I got a weird email.	Otrzymałem dziwnego e-maila.
How will you get back?	Jak wrócisz?
He twisted my arm.	Zmusił mnie.
What do you think of modern art?	Co sądzisz o sztuce współczesnej?
Let's not go to Boston this year.	Nie jedźmy do Bostonu w tym roku.
You can buy stamps at any post office.	Znaczki możesz kupić w każdej poczcie.
I need some time.	Potrzebuję trochę czasu.
Tom overdosed.	Tom przedawkował.
We need Tom.	Potrzebujemy Toma.
Tom lost thirty pounds.	Tom stracił trzydzieści funtów.
Here's my address.	Tu jest mój adres.
You're nuts.	Jesteś szurnięty.
Tom crawled under his bed.	Tom wlazł pod swoje łóżko.
Whose books are these?	Czyje są te książki?
Tom disappeared.	Tom zniknął.
There's a white dove on the roof.	Na dachu jest biały gołąb.
